Rk,Franchise,From,To,G,W,L,W-L%,G>.500,Divs,Pnnts,WS,Playoffs,Players,HOF#,R,AB,H,HR,BA,RA,ERA
,       Also played as St. Louis Stars and St. Louis Giants,,,,,,,,,,,,,,,,,,,,
113,St. Louis Stars II,1937,1937,37,5,32,0.135,-27,0,0,0,0,39,0,149,896,256,8,0.286,244,7.99
,       Also played as St. Louis Stars,,,,,,,,,,,,,,,,,,,,
114,St. Louis Terriers,1914,1915,313,149,156,0.489,-7,0,0,0,0,34,2,"1,199","10,223","2,598",49,0.254,"1,224",3.15
115,St. Louis-New Orleans-Harrisburg Stars,1938,1943,188,83,100,0.454,-17,0,0,0,1,66,0,498,"3,370",833,24,0.247,558,4.47
,"       Also played as Harrisburg-St. Louis Stars, St. Louis-New Orleans Stars, St. Louis Stars and Indianapolis ABCs",,,,,,,,,,,,,,,,,,,,
116,St. Paul Apostles,1884,1884,9,2,6,0.25,-4,0,0,0,0,11,0,24,272,49,,0.18,57,3.17
,       Also played as St. Paul White Caps,,,,,,,,,,,,,,,,,,,,
117,Syracuse Stars,1890,1890,128,55,72,0.433,-17,0,0,0,0,30,0,698,"4,469","1,158",14,0.259,831,4.98
118,Syracuse Stars,1879,1879,71,22,48,0.314,-26,0,0,0,0,18,0,276,"2,611",592,5,0.227,462,3.19
119,Toledo Blue Stockings,1884,1884,110,46,58,0.442,-12,0,0,0,0,21,1,463,"3,712",859,8,0.231,571,3.06
120,Toledo Maumees,1890,1890,134,68,64,0.515,4,0,0,0,0,20,0,739,"4,575","1,152",24,0.252,689,3.56
121,Toledo Tigers,1923,1923,27,10,17,0.37,-7,0,0,0,0,30,0,152,939,265,14,0.282,195,6.03
122,Troy Trojans,1879,1882,330,134,191,0.412,-57,0,0,0,0,44,5,"1,542","11,951","2,929",26,0.245,"1,930",2.9
123,Washington Black Senators,1938,1938,22,2,20,0.091,-18,0,0,0,0,23,0,56,457,119,2,0.26,127,8.06
124,Washington Nationals,1886,1889,514,163,337,0.326,-174,0,0,0,0,76,2,"2,160","17,337","3,944",125,0.227,"3,239",4.16
125,Washington Nationals,1884,1884,114,47,65,0.42,-18,0,0,0,0,51,0,572,"3,926",931,4,0.237,679,3.43
126,Washington Pilots,1932,1932,47,17,30,0.362,-13,0,0,0,0,31,1,310,"1,958",564,18,0.288,342,4.89
127,Washington Potomacs,1924,1925,92,31,59,0.344,-28,0,0,0,0,40,1,431,"2,853",774,33,0.271,556,5.27
,       Also played as Wilmington Potomacs,,,,,,,,,,,,,,,,,,,,
128,Washington Senators,1891,1899,"1,265",454,788,0.366,-334,0,0,0,0,187,2,"6,912","43,645","11,886",357,0.272,"8,777",4.72
,       Also played as Washington Statesmen,,,,,,,,,,,,,,,,,,,,
129,Washington Statesmen,1884,1884,63,12,51,0.19,-39,0,0,0,0,25,0,248,"2,166",434,6,0.2,481,4.01
,       Also played as Washington Nationals,,,,,,,,,,,,,,,,,,,,
130,Wilmington Quicksteps,1884,1884,18,2,16,0.111,-14,0,0,0,0,20,0,35,521,91,2,0.175,114,3.04
131,Worcester Ruby Legs,1880,1882,252,90,159,0.361,-69,0,0,0,0,46,1,"1,201","9,101","2,169",31,0.238,"1,514",3.18
